iter	Passed	Remaining
590	1325	917
591	1327	914
592	1328	912
593	1331	909
594	1335	908
595	1337	906
596	1340	904
597	1341	901
598	1343	899
599	1344	896
600	1346	893
601	1347	890
602	1349	888
603	1350	885
604	1353	883
605	1355	881
606	1357	879
607	1360	877
608	1361	874
609	1363	871
610	1364	869
611	1366	866
612	1368	863
613	1370	861
614	1371	858
615	1378	859
616	1380	857
617	1382	854
618	1384	851
619	1385	849
620	1387	846
621	1389	844
622	1390	841
623	1392	839
624	1394	836
625	1396	834
626	1401	833
627	1403	831
628	1405	828
629	1406	826
630	1407	823
631	1409	820
632	1410	818
633	1412	815
634	1413	812
635	1415	810
636	1416	807
637	1418	804
638	1421	803
639	1423	800
640	1425	798
641	1426	795
642	1428	793
643	1429	790
644	1431	787
645	1432	785
646	1434	782
647	1435	779
648	1437	777
649	1438	774
650	1439	771
651	1441	769
652	1443	766
653	1445	764
654	1448	762
655	1450	760
656	1451	757
657	1453	755
658	1455	752
659	1456	750
660	1458	747
661	1459	745
662	1461	742
663	1463	740
664	1467	739
665	1469	736
666	1470	734
667	1472	731
668	1473	729
669	1475	726
670	1476	724
671	1478	721
672	1479	719
673	1481	716
674	1482	713
675	1484	711
676	1485	708
677	1488	706
678	1491	705
679	1493	703
680	1495	700
681	1497	698
682	1499	696
683	1501	693
684	1503	691
685	1504	688
686	1506	686
687	1507	683
688	1509	681
689	1512	679
690	1514	677
691	1516	674
692	1517	672
693	1519	669
694	1520	667
695	1522	664
696	1523	662
697	1525	659
698	1526	657
699	1528	654
700	1529	652
701	1531	650
702	1535	648
703	1536	646
704	1538	643
705	1539	641
706	1541	638
707	1543	636
708	1544	634
709	1546	631
710	1547	629
711	1549	626
712	1551	624
713	1554	622
714	1556	620
715	1558	618
716	1559	615
717	1561	613
718	1562	610
719	1564	608
720	1565	605
721	1567	603
722	1568	600
723	1570	598
724	1571	596
725	1572	593
726	1574	591
727	1578	589
728	1581	588
729	1584	585
730	1586	583
731	1589	581
732	1591	579
733	1592	577
734	1594	575
735	1600	573
736	1602	571
737	1604	569
738	1605	567
739	1607	564
740	1608	562
741	1610	559
742	1611	557
743	1613	555
744	1615	552
745	1616	550
746	1617	547
747	1619	545
748	1621	543
749	1622	540
750	1625	538
751	1626	536
752	1627	534
753	1629	531
754	1630	529
755	1632	526
756	1633	524
757	1634	521
758	1635	519
759	1637	517
760	1638	514
761	1639	512
762	1641	509
763	1643	507
764	1645	505
765	1646	503
766	1648	500
767	1649	498
768	1650	495
769	1652	493
770	1653	491
771	1654	488
772	1656	486
773	1657	483
774	1658	481
775	1660	479
776	1661	476
777	1662	474
778	1664	472
779	1665	469
780	1667	467
781	1669	465
782	1671	463
783	1673	461
784	1674	458
785	1676	456
786	1677	454
787	1679	451
788	1680	449
789	1681	447
790	1683	444
791	1684	442
792	1685	440
793	1687	437
794	1689	435
795	1691	433
796	1692	431
797	1694	428
798	1695	426
799	1696	424
800	1697	421
801	1699	419
802	1700	417
803	1701	414
804	1703	412
805	1704	410
806	1705	407
807	1707	405
808	1708	403
809	1710	401
810	1712	399
811	1713	396
812	1715	394
813	1716	392
814	1718	389
815	1719	387
816	1720	385
817	1721	383
818	1723	380
819	1724	378
820	1725	376
821	1727	374
822	1728	371
823	1730	369
824	1731	367
825	1733	365
826	1735	363
827	1737	360
828	1739	358
829	1740	356
830	1742	354
831	1743	352
832	1744	349
833	1745	347
834	1747	345
835	1748	343
836	1750	340
837	1751	338
838	1752	336
839	1753	334
840	1755	331
841	1757	329
842	1760	327
843	1762	325
844	1763	323
845	1765	321
846	1766	319
847	1768	316
848	1769	314
849	1770	312
850	1772	310
851	1773	308
852	1774	305
853	1776	303
854	1777	301
855	1780	299
856	1782	297
857	1783	295
858	1785	293
859	1786	290
860	1788	288
861	1789	286
862	1790	284
863	1791	282
864	1793	279
865	1794	277
866	1795	275
867	1797	273
868	1798	271
869	1800	268
870	1802	266
871	1804	264
872	1805	262
873	1807	260
874	1808	258
875	1809	256
876	1810	253
877	1812	251
878	1813	249
879	1814	247
880	1816	245
881	1817	243
882	1818	241
883	1820	238
884	1821	236
885	1823	234
886	1825	232
887	1826	230
888	1827	228
889	1829	226
890	1830	223
891	1831	221
892	1833	219
893	1834	217
894	1835	215
895	1837	213
896	1838	211
897	1839	208
898	1841	206
899	1842	204
900	1843	202
901	1845	200
902	1847	198
903	1849	196
904	1850	194
905	1851	192
906	1853	190
907	1854	187
908	1855	185
909	1857	183
910	1858	181
911	1859	179
912	1861	177
913	1862	175
914	1863	173
915	1865	171
916	1866	168
917	1868	166
918	1870	164
919	1871	162
920	1873	160
921	1874	158
922	1876	156
923	1877	154
924	1878	152
925	1880	150
926	1881	148
927	1882	146
928	1884	143
929	1885	141
930	1886	139
931	1888	137
932	1890	135
933	1892	133
934	1894	131
935	1895	129
936	1896	127
937	1898	125
938	1899	123
939	1900	121
940	1902	119
941	1903	117
942	1904	115
943	1906	113
944	1907	111
945	1908	108
946	1909	106
947	1911	104
948	1913	102
949	1915	100
950	1916	98
951	1917	96
952	1919	94
953	1920	92
954	1921	90
955	1923	88
956	1924	86
957	1925	84
958	1926	82
959	1928	80
960	1929	78
961	1930	76
962	1932	74
963	1933	72
964	1934	70
965	1936	68
966	1938	66
967	1940	64
968	1941	62
969	1942	60
970	1944	58
971	1945	56
972	1946	54
973	1948	52
974	1949	49
975	1950	47
976	1951	45
977	1953	43
978	1954	41
979	1955	39
980	1957	37
981	1961	35
982	1962	33
983	1964	31
984	1966	29
985	1967	27
986	1969	25
987	1970	23
988	1972	21
989	1973	19
990	1975	17
991	1976	15
992	1977	13
993	1979	11
994	1980	9
995	1982	7
996	1985	5
997	1986	3
998	1988	1
999	1989	0
